case_id,title,status,re08_status,availability_level,evidence_strength_label,gap_flags,paper_n,baseline_n,parallel_n,dataset_n,repo_n,topic_dataset_n,proxy_dataset_n,pretrain_dataset_n,generic_dataset_n,core_n,effective_core_n,effective_baseline_n,effective_parallel_n,quarantined_baseline_n,quarantined_parallel_n,quarantined_core_n,critical_consistency_error_n,metadata_mismatch_n,off_topic_core_n,verification_verified_n,verification_repaired_n,verification_quarantined_n,verification_not_found_n,axis_status,axis_missing_reasons,evidence_gap_reasons,notes,fresh_new_candidates_n,fresh_buckets,fresh_elapsed_s,adapter_count,source_batch,reason
ENG-THESIS-043,基于无人机平台的动态目标检测系统开发,fail,fail,blocked,high,no_effective_core,3,0,12,0,0,3,,,,0,0,0,12,,,,,,,5,0,0,0,,,paper_n=3 < 4;effective_baseline_n=0 < 1;dataset+repo=0 < 1;no_dataset_or_data_gap_note;no_paper_no_dataset_no_repo_no_baseline,,15,dataset=3;parallel_paper=12,63.04,huggingface=4;openalex=5,,paper_n=3 < 4; effective_baseline_n=0 < 1; dataset+repo=0 < 1; no_dataset_or_data_gap_note; no_paper_no_dataset_no_repo_no_baseline
ENG-THESIS-075,基于深度学习的混凝土路面裂缝检测研究,weak,fail,needs_supplement,high,,9,0,12,0,0,0,,,,9,9,0,12,,,,,,,11,0,0,1,,,effective_baseline_n=0 < 1;dataset+repo=0 < 1;no_dataset_or_data_gap_note,,21,core_paper=9;parallel_paper=12,78.82,huggingface=4;github=1;arxiv=2;openalex=5,,effective_baseline_n=0 < 1; dataset+repo=0 < 1; no_dataset_or_data_gap_note
ENG-THESIS-048,面向动态环境的视觉SLAM研究,fail,fail,blocked,no_evidence,no_effective_core;object_axis_missing;scenario_axis_missing,0,0,12,0,0,0,,,,0,0,0,12,,,,,,,0,0,0,6,,object_axis_missing;scenario_axis_missing,paper_n=0 < 4;effective_baseline_n=0 < 1;dataset+repo=0 < 1;no_dataset_or_data_gap_note;no_paper_no_dataset_no_repo_no_baseline;object_axis_missing;scenario_axis_missing,,12,parallel_paper=12,53.0,huggingface=4;github=1;openalex=4,,paper_n=0 < 4; effective_baseline_n=0 < 1; dataset+repo=0 < 1; no_dataset_or_data_gap_note; no_paper_no_dataset_no_repo_no_baseline; object_axis_missing; scenario_axis_missing
ENG-THESIS-015,基于患者虚拟定位的三维人体重建关键技术研究,weak,weak,needs_supplement,high,no_effective_core;object_axis_missing;scenario_axis_missing,0,6,18,0,0,0,,,,0,0,6,18,,,,,,,5,0,0,7,,object_axis_missing;scenario_axis_missing,paper_n=0 < 4;dataset+repo=0 < 1;no_dataset_or_data_gap_note;object_axis_missing;scenario_axis_missing,,24,baseline=6;parallel_paper=18,96.08,huggingface=6;github=3;openalex=6,,paper_n=0 < 4; dataset+repo=0 < 1; no_dataset_or_data_gap_note; object_axis_missing; scenario_axis_missing
ENG-THESIS-028,基于YOLOv5的绝缘子检测与缺陷识别方法研究,fail,weak,blocked,high,no_effective_core,3,0,12,0,0,3,,,,0,0,0,12,,,,,,,6,0,0,0,,,paper_n=3 < 4;effective_baseline_n=0 < 1;dataset+repo=0 < 1;no_dataset_or_data_gap_note;no_paper_no_dataset_no_repo_no_baseline,,15,dataset=3;parallel_paper=12,53.21,huggingface=4;openalex=5,,paper_n=3 < 4; effective_baseline_n=0 < 1; dataset+repo=0 < 1; no_dataset_or_data_gap_note; no_paper_no_dataset_no_repo_no_baseline
ENG-THESIS-032,基于深度学习的液晶屏表面缺陷检测方法研究,fail,weak,blocked,high,no_effective_core,0,0,12,0,0,0,,,,0,0,0,12,,,,,,,6,0,0,0,,,paper_n=0 < 4;effective_baseline_n=0 < 1;dataset+repo=0 < 1;no_dataset_or_data_gap_note;no_paper_no_dataset_no_repo_no_baseline,,12,parallel_paper=12,63.38,huggingface=4;github=1;openalex=4,,paper_n=0 < 4; effective_baseline_n=0 < 1; dataset+repo=0 < 1; no_dataset_or_data_gap_note; no_paper_no_dataset_no_repo_no_baseline
ENG-THESIS-066,面向自动驾驶中多模态融合感知算法的攻击和防御,fail,weak,blocked,medium,no_effective_core,3,0,12,0,0,1,,,,0,0,0,12,,,,,,,4,0,0,0,,,paper_n=3 < 4;effective_baseline_n=0 < 1;dataset+repo=0 < 1;no_dataset_or_data_gap_note;no_paper_no_dataset_no_repo_no_baseline,,15,dataset=3;parallel_paper=12,54.17,huggingface=4;openalex=5,,paper_n=3 < 4; effective_baseline_n=0 < 1; dataset+repo=0 < 1; no_dataset_or_data_gap_note; no_paper_no_dataset_no_repo_no_baseline
ENG-THESIS-080,基于三维重建裂缝损伤检测算法研究,fail,weak,blocked,high,no_effective_core,3,0,12,0,0,1,,,,0,0,0,12,,,,,,,6,0,0,0,,,paper_n=3 < 4;effective_baseline_n=0 < 1;dataset+repo=0 < 1;no_dataset_or_data_gap_note;no_paper_no_dataset_no_repo_no_baseline,,15,dataset=3;parallel_paper=12,55.47,huggingface=4;openalex=5,,paper_n=3 < 4; effective_baseline_n=0 < 1; dataset+repo=0 < 1; no_dataset_or_data_gap_note; no_paper_no_dataset_no_repo_no_baseline
ENG-THESIS-091,基于云计算的输电线路缺陷检测平台,fail,weak,blocked,high,no_effective_core;scenario_axis_missing,0,0,12,0,0,0,,,,0,0,0,12,,,,,,,6,0,0,0,,scenario_axis_missing,paper_n=0 < 4;effective_baseline_n=0 < 1;dataset+repo=0 < 1;no_dataset_or_data_gap_note;no_paper_no_dataset_no_repo_no_baseline;scenario_axis_missing,,12,parallel_paper=12,68.4,huggingface=4;github=1;openalex=4,,paper_n=0 < 4; effective_baseline_n=0 < 1; dataset+repo=0 < 1; no_dataset_or_data_gap_note; no_paper_no_dataset_no_repo_no_baseline; scenario_axis_missing
ENG-THESIS-093,基于深度学习的接触网绝缘子表面缺陷图像式检测方法研究,fail,weak,blocked,high,no_effective_core,3,0,12,0,0,2,,,,0,0,0,12,,,,,,,5,0,0,0,,,paper_n=3 < 4;effective_baseline_n=0 < 1;dataset+repo=0 < 1;no_dataset_or_data_gap_note;no_paper_no_dataset_no_repo_no_baseline,,15,dataset=3;parallel_paper=12,72.78,huggingface=4;openalex=5,,paper_n=3 < 4; effective_baseline_n=0 < 1; dataset+repo=0 < 1; no_dataset_or_data_gap_note; no_paper_no_dataset_no_repo_no_baseline
ENG-THESIS-096,基于石墨烯薄膜电热效应的风机叶片防冰除冰系统研究,fail,weak,blocked,high,no_effective_core,0,0,12,0,0,0,,,,0,0,0,12,,,,,,,6,0,0,0,,,paper_n=0 < 4;effective_baseline_n=0 < 1;dataset+repo=0 < 1;no_dataset_or_data_gap_note;no_paper_no_dataset_no_repo_no_baseline,,12,parallel_paper=12,66.74,huggingface=4;github=1;openalex=4,,paper_n=0 < 4; effective_baseline_n=0 < 1; dataset+repo=0 < 1; no_dataset_or_data_gap_note; no_paper_no_dataset_no_repo_no_baseline
ENG-THESIS-005,随机纹理背景下弱小缺陷检测的深度学习方法研究,weak,weak,needs_supplement,high,no_effective_core;object_axis_missing,3,6,12,0,0,0,,,,0,0,6,12,,,,,,,6,0,0,1,,object_axis_missing,paper_n=3 < 4;dataset+repo=0 < 1;no_dataset_or_data_gap_note;object_axis_missing,,21,dataset=3;baseline=6;parallel_paper=12,96.18,huggingface=6;openalex=7;github=2,,paper_n=3 < 4; dataset+repo=0 < 1; no_dataset_or_data_gap_note; object_axis_missing
ENG-THESIS-014,基于生成对抗网络的织物缺陷检测算法研究,fail,weak,blocked,high,no_effective_core,3,0,12,0,0,1,,,,0,0,0,12,,,,,,,5,0,0,1,,,paper_n=3 < 4;effective_baseline_n=0 < 1;dataset+repo=0 < 1;no_dataset_or_data_gap_note;no_paper_no_dataset_no_repo_no_baseline,,15,dataset=3;parallel_paper=12,69.64,huggingface=4;openalex=5,,paper_n=3 < 4; effective_baseline_n=0 < 1; dataset+repo=0 < 1; no_dataset_or_data_gap_note; no_paper_no_dataset_no_repo_no_baseline
ENG-THESIS-040,基于改进YOLO网络与极限学习机的绝缘子故障检测,fail,weak,blocked,high,no_effective_core,3,0,12,0,0,3,,,,0,0,0,12,,,,,,,6,0,0,0,,,paper_n=3 < 4;effective_baseline_n=0 < 1;dataset+repo=0 < 1;no_dataset_or_data_gap_note;no_paper_no_dataset_no_repo_no_baseline,,15,dataset=3;parallel_paper=12,69.59,huggingface=4;openalex=5,,paper_n=3 < 4; effective_baseline_n=0 < 1; dataset+repo=0 < 1; no_dataset_or_data_gap_note; no_paper_no_dataset_no_repo_no_baseline
ENG-THESIS-073,面向汽车自动驾驶的模拟图像生成技术及应用研究,fail,weak,blocked,medium,no_effective_core,3,0,12,0,0,0,,,,0,0,0,12,,,,,,,4,0,0,2,,,paper_n=3 < 4;effective_baseline_n=0 < 1;dataset+repo=0 < 1;no_dataset_or_data_gap_note;no_paper_no_dataset_no_repo_no_baseline,,15,dataset=3;parallel_paper=12,76.92,huggingface=4;openalex=5,,paper_n=3 < 4; effective_baseline_n=0 < 1; dataset+repo=0 < 1; no_dataset_or_data_gap_note; no_paper_no_dataset_no_repo_no_baseline
ENG-THESIS-089,基于深度学习和双目立体视觉的道路路面损伤检测研究,fail,weak,blocked,high,no_effective_core,0,0,12,0,0,0,,,,0,0,0,12,,,,,,,5,0,0,0,,,paper_n=0 < 4;effective_baseline_n=0 < 1;dataset+repo=0 < 1;no_dataset_or_data_gap_note;no_paper_no_dataset_no_repo_no_baseline,,12,parallel_paper=12,71.27,huggingface=4;github=1;openalex=4,,paper_n=0 < 4; effective_baseline_n=0 < 1; dataset+repo=0 < 1; no_dataset_or_data_gap_note; no_paper_no_dataset_no_repo_no_baseline
ENG-THESIS-016,基于深度学习的视觉SLAM语义地图的研究,fail,pass,blocked,no_evidence,no_effective_core;object_axis_missing;scenario_axis_missing,0,0,0,0,0,0,,,,0,0,0,0,,,,,,,0,0,0,0,,object_axis_missing;scenario_axis_missing,paper_n=0 < 4;effective_baseline_n=0 < 1;dataset+repo=0 < 1;no_dataset_or_data_gap_note;no_paper_no_dataset_no_repo_no_baseline;no_effective_evidence_at_all;object_axis_missing;scenario_axis_missing,,0,,15.33,,,paper_n=0 < 4; effective_baseline_n=0 < 1; dataset+repo=0 < 1; no_dataset_or_data_gap_note; no_paper_no_dataset_no_repo_no_baseline; no_effective_evidence_at_all; object_axis_missing; scenario_axis_missing
ENG-THESIS-018,基于深度学习的三维点云补全方法研究,fail,pass,blocked,no_evidence,no_effective_core;object_axis_missing;scenario_axis_missing,0,0,0,0,0,0,,,,0,0,0,0,,,,,,,0,0,0,0,,object_axis_missing;scenario_axis_missing,paper_n=0 < 4;effective_baseline_n=0 < 1;dataset+repo=0 < 1;no_dataset_or_data_gap_note;no_paper_no_dataset_no_repo_no_baseline;no_effective_evidence_at_all;object_axis_missing;scenario_axis_missing,,0,,15.13,,,paper_n=0 < 4; effective_baseline_n=0 < 1; dataset+repo=0 < 1; no_dataset_or_data_gap_note; no_paper_no_dataset_no_repo_no_baseline; no_effective_evidence_at_all; object_axis_missing; scenario_axis_missing
ENG-THESIS-024,基于深度学习的无监督三维点云配准算法研究,fail,pass,blocked,no_evidence,no_effective_core;object_axis_missing;scenario_axis_missing,0,0,0,0,0,0,,,,0,0,0,0,,,,,,,0,0,0,0,,object_axis_missing;scenario_axis_missing,paper_n=0 < 4;effective_baseline_n=0 < 1;dataset+repo=0 < 1;no_dataset_or_data_gap_note;no_paper_no_dataset_no_repo_no_baseline;no_effective_evidence_at_all;object_axis_missing;scenario_axis_missing,,0,,14.06,,,paper_n=0 < 4; effective_baseline_n=0 < 1; dataset+repo=0 < 1; no_dataset_or_data_gap_note; no_paper_no_dataset_no_repo_no_baseline; no_effective_evidence_at_all; object_axis_missing; scenario_axis_missing
ENG-THESIS-027,基于YOLOv5模型的遥感影像飞机目标检测,fail,pass,blocked,no_evidence,no_effective_core;object_axis_missing;scenario_axis_missing,0,0,0,0,0,0,,,,0,0,0,0,,,,,,,0,0,0,0,,object_axis_missing;scenario_axis_missing,paper_n=0 < 4;effective_baseline_n=0 < 1;dataset+repo=0 < 1;no_dataset_or_data_gap_note;no_paper_no_dataset_no_repo_no_baseline;no_effective_evidence_at_all;object_axis_missing;scenario_axis_missing,,0,,12.64,,,paper_n=0 < 4; effective_baseline_n=0 < 1; dataset+repo=0 < 1; no_dataset_or_data_gap_note; no_paper_no_dataset_no_repo_no_baseline; no_effective_evidence_at_all; object_axis_missing; scenario_axis_missing
ENG-THESIS-033,基于YOLOV5的肺结节检测算法研究,fail,pass,blocked,no_evidence,no_effective_core;object_axis_missing;scenario_axis_missing,0,0,0,0,0,0,,,,0,0,0,0,,,,,,,0,0,0,0,,object_axis_missing;scenario_axis_missing,paper_n=0 < 4;effective_baseline_n=0 < 1;dataset+repo=0 < 1;no_dataset_or_data_gap_note;no_paper_no_dataset_no_repo_no_baseline;no_effective_evidence_at_all;object_axis_missing;scenario_axis_missing,,0,,14.37,,,paper_n=0 < 4; effective_baseline_n=0 < 1; dataset+repo=0 < 1; no_dataset_or_data_gap_note; no_paper_no_dataset_no_repo_no_baseline; no_effective_evidence_at_all; object_axis_missing; scenario_axis_missing
ENG-THESIS-046,基于视觉的机械臂的目标检测和避障路径规划研究与应用,fail,pass,blocked,no_evidence,no_effective_core;object_axis_missing;scenario_axis_missing,0,0,0,0,0,0,,,,0,0,0,0,,,,,,,0,0,0,0,,object_axis_missing;scenario_axis_missing,paper_n=0 < 4;effective_baseline_n=0 < 1;dataset+repo=0 < 1;no_dataset_or_data_gap_note;no_paper_no_dataset_no_repo_no_baseline;no_effective_evidence_at_all;object_axis_missing;scenario_axis_missing,,0,,14.95,,,paper_n=0 < 4; effective_baseline_n=0 < 1; dataset+repo=0 < 1; no_dataset_or_data_gap_note; no_paper_no_dataset_no_repo_no_baseline; no_effective_evidence_at_all; object_axis_missing; scenario_axis_missing
ENG-THESIS-050,基于深度学习的自动驾驶感知算法,fail,pass,blocked,no_evidence,no_effective_core;object_axis_missing;scenario_axis_missing,0,0,0,0,0,0,,,,0,0,0,0,,,,,,,0,0,0,0,,object_axis_missing;scenario_axis_missing,paper_n=0 < 4;effective_baseline_n=0 < 1;dataset+repo=0 < 1;no_dataset_or_data_gap_note;no_paper_no_dataset_no_repo_no_baseline;no_effective_evidence_at_all;object_axis_missing;scenario_axis_missing,,0,,17.62,,,paper_n=0 < 4; effective_baseline_n=0 < 1; dataset+repo=0 < 1; no_dataset_or_data_gap_note; no_paper_no_dataset_no_repo_no_baseline; no_effective_evidence_at_all; object_axis_missing; scenario_axis_missing
ENG-THESIS-063,基于3D视觉的机械臂无序抓取系统研究,fail,pass,blocked,no_evidence,no_effective_core;object_axis_missing;scenario_axis_missing,0,0,0,0,0,0,,,,0,0,0,0,,,,,,,0,0,0,0,,object_axis_missing;scenario_axis_missing,paper_n=0 < 4;effective_baseline_n=0 < 1;dataset+repo=0 < 1;no_dataset_or_data_gap_note;no_paper_no_dataset_no_repo_no_baseline;no_effective_evidence_at_all;object_axis_missing;scenario_axis_missing,,0,,14.84,,,paper_n=0 < 4; effective_baseline_n=0 < 1; dataset+repo=0 < 1; no_dataset_or_data_gap_note; no_paper_no_dataset_no_repo_no_baseline; no_effective_evidence_at_all; object_axis_missing; scenario_axis_missing
ENG-THESIS-074,基于深度学习的混凝土桥梁裂缝检测研究,fail,pass,blocked,no_evidence,no_effective_core;object_axis_missing;scenario_axis_missing,0,0,0,0,0,0,,,,0,0,0,0,,,,,,,0,0,0,0,,object_axis_missing;scenario_axis_missing,paper_n=0 < 4;effective_baseline_n=0 < 1;dataset+repo=0 < 1;no_dataset_or_data_gap_note;no_paper_no_dataset_no_repo_no_baseline;no_effective_evidence_at_all;object_axis_missing;scenario_axis_missing,,0,,12.6,,,paper_n=0 < 4; effective_baseline_n=0 < 1; dataset+repo=0 < 1; no_dataset_or_data_gap_note; no_paper_no_dataset_no_repo_no_baseline; no_effective_evidence_at_all; object_axis_missing; scenario_axis_missing
ENG-THESIS-092,海上风机叶片缺陷检测及分类,fail,pass,blocked,no_evidence,no_effective_core;object_axis_missing;scenario_axis_missing,0,0,0,0,0,0,,,,0,0,0,0,,,,,,,0,0,0,0,,object_axis_missing;scenario_axis_missing,paper_n=0 < 4;effective_baseline_n=0 < 1;dataset+repo=0 < 1;no_dataset_or_data_gap_note;no_paper_no_dataset_no_repo_no_baseline;no_effective_evidence_at_all;object_axis_missing;scenario_axis_missing,,0,,16.04,,,paper_n=0 < 4; effective_baseline_n=0 < 1; dataset+repo=0 < 1; no_dataset_or_data_gap_note; no_paper_no_dataset_no_repo_no_baseline; no_effective_evidence_at_all; object_axis_missing; scenario_axis_missing
ENG-THESIS-002,基于深度学习的磁瓦在线检测技术研究,fail,pass,blocked,no_evidence,no_effective_core;object_axis_missing;scenario_axis_missing,0,0,0,0,0,0,,,,0,0,0,0,,,,,,,0,0,0,0,,object_axis_missing;scenario_axis_missing,paper_n=0 < 4;effective_baseline_n=0 < 1;dataset+repo=0 < 1;no_dataset_or_data_gap_note;no_paper_no_dataset_no_repo_no_baseline;no_effective_evidence_at_all;object_axis_missing;scenario_axis_missing,,0,,13.91,,,paper_n=0 < 4; effective_baseline_n=0 < 1; dataset+repo=0 < 1; no_dataset_or_data_gap_note; no_paper_no_dataset_no_repo_no_baseline; no_effective_evidence_at_all; object_axis_missing; scenario_axis_missing
ENG-THESIS-003,基于点云多平面检测的三维重建关键技术研究,fail,pass,blocked,no_evidence,no_effective_core;object_axis_missing;scenario_axis_missing,0,0,0,0,0,0,,,,0,0,0,0,,,,,,,0,0,0,0,,object_axis_missing;scenario_axis_missing,paper_n=0 < 4;effective_baseline_n=0 < 1;dataset+repo=0 < 1;no_dataset_or_data_gap_note;no_paper_no_dataset_no_repo_no_baseline;no_effective_evidence_at_all;object_axis_missing;scenario_axis_missing,,0,,15.13,,,paper_n=0 < 4; effective_baseline_n=0 < 1; dataset+repo=0 < 1; no_dataset_or_data_gap_note; no_paper_no_dataset_no_repo_no_baseline; no_effective_evidence_at_all; object_axis_missing; scenario_axis_missing
ENG-THESIS-004,基于改进YOLOv4模型的快速目标检测与测距算法研究,fail,pass,blocked,no_evidence,no_effective_core;object_axis_missing;scenario_axis_missing,0,0,0,0,0,0,,,,0,0,0,0,,,,,,,0,0,0,0,,object_axis_missing;scenario_axis_missing,paper_n=0 < 4;effective_baseline_n=0 < 1;dataset+repo=0 < 1;no_dataset_or_data_gap_note;no_paper_no_dataset_no_repo_no_baseline;no_effective_evidence_at_all;object_axis_missing;scenario_axis_missing,,0,,10.83,,,paper_n=0 < 4; effective_baseline_n=0 < 1; dataset+repo=0 < 1; no_dataset_or_data_gap_note; no_paper_no_dataset_no_repo_no_baseline; no_effective_evidence_at_all; object_axis_missing; scenario_axis_missing
ENG-THESIS-010,基于深度学习的交通标志检测与识别研究,fail,pass,blocked,no_evidence,no_effective_core;object_axis_missing;scenario_axis_missing,0,0,0,0,0,0,,,,0,0,0,0,,,,,,,0,0,0,0,,object_axis_missing;scenario_axis_missing,paper_n=0 < 4;effective_baseline_n=0 < 1;dataset+repo=0 < 1;no_dataset_or_data_gap_note;no_paper_no_dataset_no_repo_no_baseline;no_effective_evidence_at_all;object_axis_missing;scenario_axis_missing,,0,,9.86,,,paper_n=0 < 4; effective_baseline_n=0 < 1; dataset+repo=0 < 1; no_dataset_or_data_gap_note; no_paper_no_dataset_no_repo_no_baseline; no_effective_evidence_at_all; object_axis_missing; scenario_axis_missing
ENG-THESIS-022,基于深度学习的钢铁表面缺陷检测研究,fail,pass,blocked,no_evidence,no_effective_core;object_axis_missing;scenario_axis_missing,0,0,0,0,0,0,,,,0,0,0,0,,,,,,,0,0,0,0,,object_axis_missing;scenario_axis_missing,paper_n=0 < 4;effective_baseline_n=0 < 1;dataset+repo=0 < 1;no_dataset_or_data_gap_note;no_paper_no_dataset_no_repo_no_baseline;no_effective_evidence_at_all;object_axis_missing;scenario_axis_missing,,0,,7.34,,,paper_n=0 < 4; effective_baseline_n=0 < 1; dataset+repo=0 < 1; no_dataset_or_data_gap_note; no_paper_no_dataset_no_repo_no_baseline; no_effective_evidence_at_all; object_axis_missing; scenario_axis_missing
ENG-THESIS-035,基于深度学习的带钢表面缺陷检测方法,fail,pass,blocked,no_evidence,no_effective_core;object_axis_missing;scenario_axis_missing,0,0,0,0,0,0,,,,0,0,0,0,,,,,,,0,0,0,0,,object_axis_missing;scenario_axis_missing,paper_n=0 < 4;effective_baseline_n=0 < 1;dataset+repo=0 < 1;no_dataset_or_data_gap_note;no_paper_no_dataset_no_repo_no_baseline;no_effective_evidence_at_all;object_axis_missing;scenario_axis_missing,,0,,14.17,,,paper_n=0 < 4; effective_baseline_n=0 < 1; dataset+repo=0 < 1; no_dataset_or_data_gap_note; no_paper_no_dataset_no_repo_no_baseline; no_effective_evidence_at_all; object_axis_missing; scenario_axis_missing
ENG-THESIS-051,基于深度学习的语义SLAM研究,fail,pass,blocked,no_evidence,no_effective_core;object_axis_missing;scenario_axis_missing,0,0,0,0,0,0,,,,0,0,0,0,,,,,,,0,0,0,0,,object_axis_missing;scenario_axis_missing,paper_n=0 < 4;effective_baseline_n=0 < 1;dataset+repo=0 < 1;no_dataset_or_data_gap_note;no_paper_no_dataset_no_repo_no_baseline;no_effective_evidence_at_all;object_axis_missing;scenario_axis_missing,,0,,11.03,,,paper_n=0 < 4; effective_baseline_n=0 < 1; dataset+repo=0 < 1; no_dataset_or_data_gap_note; no_paper_no_dataset_no_repo_no_baseline; no_effective_evidence_at_all; object_axis_missing; scenario_axis_missing
ENG-THESIS-058,基于深度学习的激光点云环境感知,fail,pass,blocked,no_evidence,no_effective_core;object_axis_missing;scenario_axis_missing,0,0,0,0,0,0,,,,0,0,0,0,,,,,,,0,0,0,0,,object_axis_missing;scenario_axis_missing,paper_n=0 < 4;effective_baseline_n=0 < 1;dataset+repo=0 < 1;no_dataset_or_data_gap_note;no_paper_no_dataset_no_repo_no_baseline;no_effective_evidence_at_all;object_axis_missing;scenario_axis_missing,,0,,9.04,,,paper_n=0 < 4; effective_baseline_n=0 < 1; dataset+repo=0 < 1; no_dataset_or_data_gap_note; no_paper_no_dataset_no_repo_no_baseline; no_effective_evidence_at_all; object_axis_missing; scenario_axis_missing
ENG-THESIS-060,基于深度学习的车道线检测方法研究,fail,pass,blocked,no_evidence,no_effective_core;object_axis_missing;scenario_axis_missing,0,0,0,0,0,0,,,,0,0,0,0,,,,,,,0,0,0,0,,object_axis_missing;scenario_axis_missing,paper_n=0 < 4;effective_baseline_n=0 < 1;dataset+repo=0 < 1;no_dataset_or_data_gap_note;no_paper_no_dataset_no_repo_no_baseline;no_effective_evidence_at_all;object_axis_missing;scenario_axis_missing,,0,,7.91,,,paper_n=0 < 4; effective_baseline_n=0 < 1; dataset+repo=0 < 1; no_dataset_or_data_gap_note; no_paper_no_dataset_no_repo_no_baseline; no_effective_evidence_at_all; object_axis_missing; scenario_axis_missing
ENG-THESIS-064,面向复杂道路场景的车辆目标检测算法研究与实现,fail,pass,blocked,no_evidence,no_effective_core;object_axis_missing;scenario_axis_missing,0,0,0,0,0,0,,,,0,0,0,0,,,,,,,0,0,0,0,,object_axis_missing;scenario_axis_missing,paper_n=0 < 4;effective_baseline_n=0 < 1;dataset+repo=0 < 1;no_dataset_or_data_gap_note;no_paper_no_dataset_no_repo_no_baseline;no_effective_evidence_at_all;object_axis_missing;scenario_axis_missing,,0,,11.54,,,paper_n=0 < 4; effective_baseline_n=0 < 1; dataset+repo=0 < 1; no_dataset_or_data_gap_note; no_paper_no_dataset_no_repo_no_baseline; no_effective_evidence_at_all; object_axis_missing; scenario_axis_missing
ENG-THESIS-072,基于深度学习的动态SLAM研究,fail,pass,blocked,no_evidence,no_effective_core;object_axis_missing;scenario_axis_missing,0,0,0,0,0,0,,,,0,0,0,0,,,,,,,0,0,0,0,,object_axis_missing;scenario_axis_missing,paper_n=0 < 4;effective_baseline_n=0 < 1;dataset+repo=0 < 1;no_dataset_or_data_gap_note;no_paper_no_dataset_no_repo_no_baseline;no_effective_evidence_at_all;object_axis_missing;scenario_axis_missing,,0,,12.29,,,paper_n=0 < 4; effective_baseline_n=0 < 1; dataset+repo=0 < 1; no_dataset_or_data_gap_note; no_paper_no_dataset_no_repo_no_baseline; no_effective_evidence_at_all; object_axis_missing; scenario_axis_missing
ENG-THESIS-079,基于结构光的隧道裂缝检测技术研究与实现,fail,pass,blocked,no_evidence,no_effective_core;object_axis_missing;scenario_axis_missing,0,0,0,0,0,0,,,,0,0,0,0,,,,,,,0,0,0,0,,object_axis_missing;scenario_axis_missing,paper_n=0 < 4;effective_baseline_n=0 < 1;dataset+repo=0 < 1;no_dataset_or_data_gap_note;no_paper_no_dataset_no_repo_no_baseline;no_effective_evidence_at_all;object_axis_missing;scenario_axis_missing,,0,,10.84,,,paper_n=0 < 4; effective_baseline_n=0 < 1; dataset+repo=0 < 1; no_dataset_or_data_gap_note; no_paper_no_dataset_no_repo_no_baseline; no_effective_evidence_at_all; object_axis_missing; scenario_axis_missing
ENG-THESIS-083,基于多分辨率网络的桥梁裂缝分割算法研究,fail,pass,blocked,no_evidence,no_effective_core;object_axis_missing;scenario_axis_missing,0,0,0,0,0,0,,,,0,0,0,0,,,,,,,0,0,0,0,,object_axis_missing;scenario_axis_missing,paper_n=0 < 4;effective_baseline_n=0 < 1;dataset+repo=0 < 1;no_dataset_or_data_gap_note;no_paper_no_dataset_no_repo_no_baseline;no_effective_evidence_at_all;object_axis_missing;scenario_axis_missing,,0,,8.21,,,paper_n=0 < 4; effective_baseline_n=0 < 1; dataset+repo=0 < 1; no_dataset_or_data_gap_note; no_paper_no_dataset_no_repo_no_baseline; no_effective_evidence_at_all; object_axis_missing; scenario_axis_missing
ENG-THESIS-100,基于深度学习的配电设备视觉识别技术研究,fail,pass,blocked,no_evidence,no_effective_core;object_axis_missing;scenario_axis_missing,0,0,0,0,0,0,,,,0,0,0,0,,,,,,,0,0,0,0,,object_axis_missing;scenario_axis_missing,paper_n=0 < 4;effective_baseline_n=0 < 1;dataset+repo=0 < 1;no_dataset_or_data_gap_note;no_paper_no_dataset_no_repo_no_baseline;no_effective_evidence_at_all;object_axis_missing;scenario_axis_missing,,0,,14.28,,,paper_n=0 < 4; effective_baseline_n=0 < 1; dataset+repo=0 < 1; no_dataset_or_data_gap_note; no_paper_no_dataset_no_repo_no_baseline; no_effective_evidence_at_all; object_axis_missing; scenario_axis_missing
